,ticker,period,avg price,max price,min price,number of days,analysis date
0,AAPL,365d,237.93,285.92,171.67,365,2026-04-18 19:47:22.242834
1,TSLA,365d,367.39,489.88,221.86,365,2026-04-18 19:47:22.342829
2,PLTR,365d,132.38,207.18,41.41,365,2026-04-18 19:47:22.415206
3,NVDA,365d,158.27,207.02,94.29,365,2026-04-18 19:47:22.527214
4,MSFT,365d,447.68,539.83,351.87,365,2026-04-18 19:47:22.637987
5,NFLX,365d,103.24,133.91,75.55,365,2026-04-18 19:47:22.738359
6,GOOG,365d,228.58,344.66,146.07,365,2026-04-18 19:47:22.830909
7,AMZN,365d,218.11,254.0,167.32,365,2026-04-18 19:47:22.919752
8,XOM,365d,116.42,171.47,96.61,365,2026-04-18 19:47:23.084846
9,TSM,365d,247.53,386.64,139.64,365,2026-04-18 19:47:23.206853
10,SPGI,365d,496.4,560.76,389.85,365,2026-04-18 19:47:23.351165
